///////////////////////////////////         30/01/2025
13:11:34.928 > Serial iniciado                 SiPM 2
13:11:36.078 > SPI iniciado
13:11:36.079 > CSs en HIGH
13:11:36.079 > DEBUG (start_tmp100) -> Status: 0
13:11:36.080 > TMP iniciado
13:11:36.080 > 25.0000
13:11:36.190 > MODE0: 100100
13:11:36.240 > MODE0: 11111100
13:11:36.241 > PGA: 0
13:11:36.242 > PGA BYPASS MODE: 10000000
13:11:36.742 > Setup finalizado
13:11:39.745 > Datos obtenidos:
13:11:39.746 > Temperatura: 25.0000
13:11:39.749 > Obtención de curva
13:11:39.749 > Vbd teorico: 24.54
13:11:39.751 > Limites (dec, hex): 26.84, 29.84, 61BF, 41BF, paso: 20
13:11:39.755 > Comandos calculados
13:11:51.766 > First VCurrent: 1.2166624
13:11:51.769 > Tiempo promedio de muestreo [ms]: 30.000
13:11:51.773 > i, Voltage, VCorriente, (Voltage*12)-3.8, (VCorriente-firstCurrent)/2000
13:11:51.773 > 1,2.3123410,1.2182297,25.00,23.9480927,0.0000007836
13:11:51.784 > 2,2.3153312,1.2180510,25.00,23.9839737,0.0000006943
13:11:51.795 > 3,2.3158853,1.2179556,25.00,23.9906227,0.0000006466
13:11:51.803 > 4,2.3164454,1.2181034,25.00,23.9973442,0.0000007205
13:11:51.810 > 5,2.3173001,1.2179848,25.00,24.0076019,0.0000006612
13:11:51.818 > 6,2.3179243,1.2179383,25.00,24.0150902,0.0000006379
13:11:51.826 > 7,2.3184879,1.2181177,25.00,24.0218536,0.0000007277
13:11:51.833 > 8,2.3190169,1.2182499,25.00,24.0282032,0.0000007938
13:11:51.841 > 9,2.3196216,1.2180581,25.00,24.0354588,0.0000006979
13:11:51.849 > 10,2.3201332,1.2182636,25.00,24.0415985,0.0000008006
13:11:51.856 > 11,2.3208504,1.2180229,25.00,24.0502045,0.0000006803
13:11:51.864 > 12,2.3214967,1.2180367,25.00,24.0579597,0.0000006871
13:11:51.871 > 13,2.3222361,1.2179323,25.00,24.0668327,0.0000006350
13:11:51.878 > 14,2.3228257,1.2180700,25.00,24.0739090,0.0000007038
13:11:51.886 > 15,2.3233898,1.2180486,25.00,24.0806763,0.0000006931
13:11:51.893 > 16,2.3240676,1.2179044,25.00,24.0888111,0.0000006210
13:11:51.900 > 17,2.3246331,1.2179979,25.00,24.0955975,0.0000006678
13:11:51.908 > 18,2.3252287,1.2181064,25.00,24.1027443,0.0000007220
13:11:51.915 > 19,2.3258739,1.2179158,25.00,24.1104862,0.0000006267
13:11:51.923 > 20,2.3263962,1.2180259,25.00,24.1167557,0.0000006818
13:11:51.930 > 21,2.3270521,1.2179235,25.00,24.1246254,0.0000006306
13:11:51.937 > 22,2.3276031,1.2180420,25.00,24.1312363,0.0000006898
13:11:51.944 > 23,2.3283782,1.2178502,25.00,24.1405384,0.0000005939
13:11:51.952 > 24,2.3289077,1.2179550,25.00,24.1468918,0.0000006463
13:11:51.959 > 25,2.3294532,1.2179943,25.06,24.1534378,0.0000006660
